class,average_precision
GHA,0.9900251178124077
GYA,0.985958444775459
DHA,0.985045889963403
LA,0.9838771220677287
JA,0.9834232514941423
CHHA,0.981519326999563
GA,0.9810097873886022
KA,0.9790256627852383
NA,0.9771121880894795
NGA,0.9770330846139073
KHA,0.9705091814442883
PHA,0.9688781712663502
YAN,0.9667165294183357
DHAA,0.9662597920087189
YA,0.9619702787210311
HA,0.9608645327966994
T_SHA,0.9548653177067381
D_SHA,0.9537291969221048
DA,0.948651256072091
WA,0.9464832915825988
TA,0.9459917602701039
MA,0.9411035184228718
CHA,0.9371376742772767
M_SHA,0.936457976698552
PA,0.9342686265170275
JHA,0.9287780776249347
BA,0.9199672801147899
TRA,0.9089988106454426
NAA,0.9013713426794379
THAA,0.8982253475545786
THA,0.8897012376775527
KSHA,0.888888330122314
RA,0.8801043736362666
DAA,0.8746925555105122
TAA,0.8495589216203984
BHA,0.8220802741050398
