,precision,recall,f1-score,support
BA,0.975,0.9285714285714286,0.9512195121951219,84.0
BHA,0.9021739130434783,0.9880952380952381,0.9431818181818182,84.0
CHA,0.896551724137931,0.9285714285714286,0.9122807017543859,84.0
CHHA,0.9882352941176471,1.0,0.9940828402366864,84.0
DA,1.0,1.0,1.0,84.0
DAA,0.9318181818181818,0.9761904761904762,0.9534883720930233,84.0
DHA,0.9021739130434783,0.9880952380952381,0.9431818181818182,84.0
DHAA,0.6153846153846154,0.9523809523809523,0.7476635514018691,84.0
D_SHA,1.0,0.9615384615384616,0.9803921568627451,78.0
GA,0.9186046511627907,0.9753086419753086,0.9461077844311377,81.0
GHA,0.9545454545454546,0.5,0.65625,84.0
GYA,0.9647058823529412,0.9761904761904762,0.9704142011834319,84.0
HA,0.9864864864864865,0.8690476190476191,0.9240506329113924,84.0
JA,1.0,0.9880952380952381,0.9940119760479041,84.0
JHA,0.9759036144578314,0.9642857142857143,0.9700598802395209,84.0
KA,0.9634146341463414,0.9753086419753086,0.9693251533742331,81.0
KHA,0.9010989010989011,0.9761904761904762,0.9371428571428572,84.0
KSHA,0.972972972972973,0.9230769230769231,0.9473684210526315,78.0
LA,0.9864864864864865,0.9012345679012346,0.9419354838709677,81.0
MA,0.9367088607594937,0.8809523809523809,0.9079754601226994,84.0
M_SHA,0.9873417721518988,0.9285714285714286,0.9570552147239264,84.0
NA,0.9620253164556962,0.9382716049382716,0.95,81.0
NAA,0.95,0.9047619047619048,0.926829268292683,84.0
NGA,0.9,0.9642857142857143,0.9310344827586207,84.0
PA,1.0,0.9753086419753086,0.9875,81.0
PHA,1.0,0.9880952380952381,0.9940119760479041,84.0
RA,1.0,0.9761904761904762,0.9879518072289156,84.0
TA,1.0,0.9285714285714286,0.9629629629629629,84.0
TAA,0.9753086419753086,0.9404761904761905,0.9575757575757575,84.0
THA,0.9032258064516129,1.0,0.9491525423728814,84.0
THAA,0.9529411764705882,0.9642857142857143,0.9585798816568047,84.0
TRA,0.9534883720930233,0.9761904761904762,0.9647058823529412,84.0
T_SHA,0.9230769230769231,1.0,0.96,84.0
WA,0.9213483146067416,0.9761904761904762,0.9479768786127167,84.0
YA,0.9473684210526315,0.8888888888888888,0.9171974522292994,81.0
YAN,0.9733333333333334,0.8690476190476191,0.9182389937106918,84.0
accuracy,0.9408817635270541,0.9408817635270541,0.9408817635270541,0.9408817635270541
macro avg,0.9478256573245221,0.9408963807111955,0.940580714494732,2994.0
weighted avg,0.9475795762804292,0.9408817635270541,0.9404186104017569,2994.0
