class,auc
GHA,0.99944362624775
YAN,0.9959417443953527
KSHA,0.9957220991171609
THAA,0.9955940108001964
WA,0.993912616593029
THA,0.9935567010309279
TAA,0.9934053346424481
GYA,0.9932580592374407
PA,0.9932359410560577
GA,0.9929604624649826
TA,0.9914743904434626
DHA,0.9912657502863689
HA,0.9906071019473082
TRA,0.9888766159384716
YA,0.9877729886884252
KA,0.9871203163341852
NGA,0.9855670103092784
NA,0.9849927739846495
DA,0.9834069710358371
LA,0.9830347569219294
DAA,0.9829160530191459
JHA,0.9816642120765833
PHA,0.9805719194894453
JA,0.9799869088528882
CHA,0.9799337260677468
DHAA,0.9793773523154966
RA,0.9791605301914581
KHA,0.977119129438717
NAA,0.9751759122893143
T_SHA,0.9724472263132057
M_SHA,0.9705449189985272
CHHA,0.964216167566683
BHA,0.9641548028145966
MA,0.961953853706431
BA,0.9597979054164621
D_SHA,0.9580607435545707
